1.46 540.607 0.378436 6.29269
1.47 537.276 0.385262 6.28651
1.48 534.24 0.392042 6.28085
1.49 531.353 0.398776 6.27543
1.5 528.325 0.405465 6.26971
1.51 525.091 0.41211 6.26357
1.52 521.705 0.41871 6.2571
1.53 518.228 0.425268 6.25042
1.54 514.713 0.431782 6.24361
1.55 511.391 0.438255 6.23713
1.56 508.438 0.444686 6.23134
1.57 505.685 0.451076 6.22591
1.58 502.947 0.457425 6.22049
1.59 500.045 0.463734 6.2147
1.6 496.976 0.470004 6.20854
1.61 493.897 0.476234 6.20233
1.62 490.812 0.482426 6.19606
1.63 487.7 0.48858 6.1897
1.64 484.703 0.494696 6.18354
1.65 481.825 0.500775 6.17758
1.66 478.985 0.506818 6.17167
1.67 476.021 0.512824 6.16546
1.68 472.969 0.518794 6.15903
1.69 469.97 0.524729 6.15267
1.7 467.103 0.530628 6.14655
1.71 464.505 0.536493 6.14097
1.72 462.104 0.542324 6.13579
1.73 459.733 0.548121 6.13064
1.74 457.311 0.553885 6.12536
1.75 454.868 0.559616 6.12001
1.76 452.382 0.565314 6.11453
1.77 449.764 0.57098 6.10872
1.78 446.965 0.576613 6.10248
1.79 444.194 0.582216 6.09626
1.8 441.609 0.587787 6.09043
1.81 439.212 0.593327 6.08498
1.82 436.935 0.598837 6.07978
1.83 434.734 0.604316 6.07473
1.84 432.527 0.609766 6.06965
1.85 430.198 0.615186 6.06425
1.86 427.714 0.620576 6.05845
1.87 425.209 0.625938 6.05258
1.88 422.864 0.631272 6.04705
1.89 420.743 0.636577 6.04202
1.9 418.702 0.641854 6.03716
1.91 416.529 0.647103 6.03196
1.92 414.176 0.652325 6.02629
1.93 411.75 0.65752 6.02042
1.94 409.318 0.662688 6.01449
1.95 406.964 0.667829 6.00872
1.96 404.728 0.672944 6.00321
1.97 402.542 0.678034 5.9978
1.98 400.324 0.683097 5.99227
1.99 398.058 0.688135 5.9866
2 395.796 0.693147 5.9809
2.01 393.625 0.698135 5.9754
2.02 391.546 0.703098 5.9701
2.03 389.529 0.708036 5.96494
2.04 387.566 0.71295 5.95988
2.05 385.574 0.71784 5.95473
2.06 383.524 0.722706 5.9494
2.07 381.442 0.727549 5.94396
2.08 379.39 0.732368 5.93856
2.09 377.346 0.737164 5.93316
2.1 375.328 0.741937 5.9278
2.11 373.383 0.746688 5.92261
2.12 371.576 0.751416 5.91775
2.13 369.865 0.756122 5.91314
2.14 368.121 0.760806 5.90841
2.15 366.246 0.765468 5.90331
2.16 364.286 0.770108 5.89794
2.17 362.311 0.774727 5.8925
2.18 360.45 0.779325 5.88735
2.19 358.705 0.783902 5.8825
2.2 357.085 0.788457 5.87797
2.21 355.529 0.792993 5.87361
2.22 353.936 0.797507 5.86912
2.23 352.274 0.802002 5.86441
2.24 350.544 0.806476 5.85949
2.25 348.726 0.81093 5.85429
2.26 346.859 0.815365 5.84892
2.27 344.998 0.81978 5.84354
2.28 343.147 0.824175 5.83816
2.29 341.332 0.828552 5.83286
2.3 339.555 0.832909 5.82763
2.31 337.864 0.837248 5.82264
2.32 336.274 0.841567 5.81793
2.33 334.72 0.845868 5.81329
2.34 333.108 0.850151 5.80847
2.35 331.441 0.854415 5.80345
2.36 329.721 0.858662 5.79825
2.37 327.955 0.86289 5.79288
2.38 326.281 0.8671 5.78776
2.39 324.737 0.871293 5.78302
2.4 323.263 0.875469 5.77847
2.41 321.858 0.879627 5.77411
2.42 320.455 0.883768 5.76974
2.43 319.07 0.887891 5.76541
2.44 317.671 0.891998 5.76102
2.45 316.216 0.896088 5.75643
2.46 314.696 0.900161 5.75161
2.47 313.11 0.904218 5.74655
2.48 311.494 0.908259 5.74138
2.49 309.884 0.912283 5.7362
2.5 308.325 0.916291 5.73116
2.51 306.891 0.920283 5.72649
2.52 305.569 0.924259 5.72217
2.53 304.321 0.928219 5.71808
2.54 303.066 0.932164 5.71395
2.55 301.736 0.936093 5.70955
2.56 300.312 0.940007 5.70482
2.57 298.776 0.943906 5.6997
2.58 297.187 0.947789 5.69436
2.59 295.681 0.951658 5.68928
2.6 294.327 0.955511 5.68469
2.61 293.005 0.95935 5.68019
2.62 291.631 0.963174 5.67549
2.63 290.181 0.966984 5.6705
2.64 288.696 0.970779 5.66537
2.65 287.272 0.97456 5.66043
2.66 285.987 0.978326 5.65594
2.67 284.833 0.982078 5.6519
2.68 283.712 0.985817 5.64796
2.69 282.574 0.989541 5.64394
2.7 281.401 0.993252 5.63978
2.71 280.172 0.996949 5.6354
2.72 278.88 1.00063 5.63078
2.73 277.577 1.0043 5.6261
2.74 276.349 1.00796 5.62166
2.75 275.178 1.0116 5.61742
2.76 273.99 1.01523 5.61309
2.77 272.778 1.01885 5.60866
2.78 271.61 1.02245 5.60437
